dbms,schema_config,query_id,framework,overhead_pct,log_ratio,n_blocks
MySQL,non-indexed,Q16,django,0.63,0.0062,8
MySQL,non-indexed,Q16,sqlalchemy,4.11,0.0403,8
MySQL,non-indexed,Q18,django,-9.33,-0.098,8
MySQL,non-indexed,Q18,sqlalchemy,-0.36,-0.0036,8
MySQL,non-indexed,Q19,django,2.3,0.0227,8
MySQL,non-indexed,Q19,sqlalchemy,-1.45,-0.0146,8
MySQL,non-indexed,Q21,django,-0.68,-0.0068,8
MySQL,non-indexed,Q21,sqlalchemy,-0.07,-0.0007,8
MySQL,non-indexed,Q22,django,1.9,0.0188,8
MySQL,non-indexed,Q22,sqlalchemy,0.22,0.0022,8
Oracle,indexed,Q01,django,13.06,0.1227,8
Oracle,indexed,Q01,sqlalchemy,15.92,0.1477,8
Oracle,indexed,Q02,django,197.84,1.0914,8
Oracle,indexed,Q02,sqlalchemy,65.65,0.5047,8
Oracle,indexed,Q03,django,-10.38,-0.1096,8
Oracle,indexed,Q03,sqlalchemy,2.9,0.0285,8
Oracle,indexed,Q04,django,-45.51,-0.6072,8
Oracle,indexed,Q04,sqlalchemy,1.14,0.0114,8
Oracle,indexed,Q05,django,-29.66,-0.3519,8
Oracle,indexed,Q05,sqlalchemy,1.16,0.0115,8
Oracle,indexed,Q06,django,-5.64,-0.058,8
Oracle,indexed,Q06,sqlalchemy,0.57,0.0057,8
Oracle,indexed,Q07,django,0.52,0.0052,8
Oracle,indexed,Q07,sqlalchemy,0.31,0.0031,8
Oracle,indexed,Q08,django,0.5,0.005,8
Oracle,indexed,Q08,sqlalchemy,-0.05,-0.0005,8
Oracle,indexed,Q09,django,75.62,0.5632,8
Oracle,indexed,Q09,sqlalchemy,1.77,0.0175,8
Oracle,indexed,Q10,django,0.36,0.0036,8
Oracle,indexed,Q10,sqlalchemy,3.39,0.0333,8
Oracle,indexed,Q11,django,76.06,0.5656,8
Oracle,indexed,Q11,sqlalchemy,79.13,0.5829,8
Oracle,indexed,Q12,django,-61.86,-0.964,8
Oracle,indexed,Q12,sqlalchemy,-62.7,-0.9861,8
Oracle,indexed,Q13,sqlalchemy,-2.16,-0.0218,8
Oracle,indexed,Q14,django,1.42,0.0141,8
Oracle,indexed,Q14,sqlalchemy,0.57,0.0057,8
Oracle,indexed,Q15,django,106.77,0.7265,8
Oracle,indexed,Q15,sqlalchemy,146.07,0.9005,8
Oracle,indexed,Q16,django,7.99,0.0768,8
Oracle,indexed,Q16,sqlalchemy,16.54,0.1531,8
