system,schema,query,framework,theta,overhead,sql_s,orm_s,rows,blocks
oracle,non-indexed,Q16,sqlalchemy,0.1545772359022318,16.716442157344485,0.3599285,0.4183635,18374,8
oracle,non-indexed,Q17,django,6.631997762891709,75799.69529976402,0.7333605,560.952931,1,8
oracle,non-indexed,Q17,sqlalchemy,0.004357717188444205,0.43672258449862605,0.732318,0.735852,1,8
oracle,non-indexed,Q18,django,0.009331532840986843,0.937520733786229,2.2614454999999998,2.2827830000000002,57,8
oracle,non-indexed,Q18,sqlalchemy,0.001571931298301583,0.1573167429924681,2.2872535000000003,2.2898055,57,8
oracle,non-indexed,Q19,django,0.6267502118638739,87.15186467860019,0.9348155,1.7529705,1,8
oracle,non-indexed,Q19,sqlalchemy,0.6384837850729499,89.36075855028135,0.935495,1.7694074999999998,1,8
oracle,non-indexed,Q20,django,5.743110452652896,31103.34684261058,0.901101,271.0498295,201,8
oracle,non-indexed,Q20,sqlalchemy,0.0004546840145725462,0.04547873990175912,0.90188,0.914553,201,8
oracle,non-indexed,Q21,django,-0.12500854559626975,-11.751063884542035,3.1088459999999998,2.6447545,100,8
oracle,non-indexed,Q21,sqlalchemy,0.005727864066472291,0.5744299645123537,2.9574555,3.2623505,100,8
oracle,non-indexed,Q22,django,0.2878216988461144,33.351951485673624,0.23861949999999998,0.317893,7,8
oracle,non-indexed,Q22,sqlalchemy,0.011668515736320186,1.1736858426639831,0.2393315,0.242159,7,8
postgresql,indexed,Q01,django,0.00043810521508376546,0.04382011971897492,10.163579,10.174520000000001,4,8
postgresql,indexed,Q01,sqlalchemy,0.0007472918723946378,0.07475711645324935,10.1645125,10.1807075,4,8
postgresql,indexed,Q02,django,-0.3597795264962845,-30.216983782713164,0.316739,0.22508499999999998,100,8
postgresql,indexed,Q02,sqlalchemy,0.009978520325772249,1.0028471768630394,0.3521835,0.3564875,100,8
postgresql,indexed,Q03,django,0.001474408191886773,0.14754956660395166,1.9139215,1.916311,10,8
postgresql,indexed,Q03,sqlalchemy,0.0004029967306253882,0.04030779447171403,1.921493,1.921545,10,8
postgresql,indexed,Q04,django,0.04858516499369309,4.978477292691417,0.291576,0.3063305,5,8
postgresql,indexed,Q04,sqlalchemy,0.00029415491951368793,0.02941981873143998,0.2927195,0.294195,5,8
postgresql,indexed,Q05,django,0.005445463339262742,0.5460316823881819,0.460211,0.46266850000000004,5,8
postgresql,indexed,Q05,sqlalchemy,0.006697369428608588,0.6719846959330523,0.4610155,0.46492500000000003,5,8
postgresql,indexed,Q06,django,0.005863786079192877,0.5881011725493644,0.2072225,0.20812150000000001,1,8
postgresql,indexed,Q06,sqlalchemy,0.004822780745889278,0.4834429071195464,0.20738299999999998,0.208133,1,8
postgresql,indexed,Q07,django,0.0029223773257848196,0.29266516331006853,0.8011465,0.802492,4,8
postgresql,indexed,Q07,sqlalchemy,0.0073321252416137005,0.7359071088408702,0.7978385,0.803064,4,8
postgresql,indexed,Q08,django,0.01924285148402949,1.9429188449761596,0.3516375,0.3567005,2,8
postgresql,indexed,Q08,sqlalchemy,0.007585524083578906,0.7614367054950724,0.3521965,0.3538945,2,8
postgresql,indexed,Q09,django,0.057801266573976835,5.950441584390413,4.449879,4.74722,175,8
postgresql,indexed,Q09,sqlalchemy,0.0008618020089686633,0.08621734670200958,4.4609179999999995,4.4822295,175,8
postgresql,indexed,Q10,django,0.048208940941661026,4.938989293221564,1.901996,1.9909469999999998,20,8
postgresql,indexed,Q10,sqlalchemy,-0.00026393796432437237,-0.0263903135764127,1.893826,1.8975995,20,8
postgresql,indexed,Q11,django,0.026443548559566234,2.6796281496449583,0.1263265,0.1304425,1469,8
postgresql,indexed,Q11,sqlalchemy,0.03283579191816738,3.3380835823497277,0.12943149999999998,0.1338975,1469,8
postgresql,indexed,Q12,django,0.00390809506852234,0.3915741629972733,0.686062,0.6883874999999999,2,8
postgresql,indexed,Q12,sqlalchemy,0.0016412281492447895,0.16425757012763295,0.686429,0.687852,2,8
postgresql,indexed,Q13,django,0.5869131074682576,79.84282832114403,1.8791635000000002,3.379596,42,8
postgresql,indexed,Q13,sqlalchemy,0.0006435817529263537,0.06437888960981754,1.8959945,1.9017685,42,8
postgresql,indexed,Q14,django,0.008782913554387619,0.8821596506376986,0.23959950000000002,0.24186649999999998,1,8
postgresql,indexed,Q14,sqlalchemy,0.006771341201690293,0.6794318565771076,0.2570985,0.2584915,1,8
postgresql,indexed,Q15,django,0.6546669676714977,92.45014894285417,0.346346,0.667145,1,8
postgresql,indexed,Q15,sqlalchemy,0.0017332631071360993,0.17347660758566863,0.6838175,0.6862195,1,8
postgresql,indexed,Q16,django,0.008210433093891256,0.8244231135215633,1.0693555,1.080365,18374,8
postgresql,indexed,Q16,sqlalchemy,0.02451115449512858,2.481402232646351,1.122071,1.1476205,18374,8
postgresql,indexed,Q17,django,-0.8770041878290438,-58.3972613447568,1.2871885,0.538689,1,8
postgresql,indexed,Q17,sqlalchemy,0.0039506385546429455,0.39584526139236603,1.2753945,1.2826385,1,8
postgresql,indexed,Q18,django,0.0009830636646323723,0.0983547030096764,3.789314,3.7932759999999996,57,8
postgresql,indexed,Q18,sqlalchemy,0.0024077315530291674,0.24106324663845496,3.8185735000000003,3.8224025,57,8
postgresql,indexed,Q19,django,0.05984099388388517,6.166772146261072,0.0837145,0.088923,1,8
postgresql,indexed,Q19,sqlalchemy,0.01110599075093235,1.1167891209278265,0.086233,0.087474,1,8
postgresql,indexed,Q20,django,0.006693724244631922,0.6716177286963715,0.932957,0.9383395,201,8
postgresql,indexed,Q20,sqlalchemy,0.0004157605373219306,0.04158469777132138,0.9443225,0.945165,201,8
postgresql,indexed,Q21,django,0.01214667607259147,1.222074654191555,1.0136924999999999,1.024926,100,8
postgresql,indexed,Q21,sqlalchemy,0.006208322885665932,0.6227634465682571,1.0171815,1.0230685,100,8
postgresql,indexed,Q22,django,0.3505830566159436,41.98951865723884,0.2299045,0.326572,7,8
postgresql,indexed,Q22,sqlalchemy,0.01015244686930663,1.0204157807386276,0.2317735,0.23406700000000003,7,8
postgresql,non-indexed,Q01,django,0.0008331247367487307,0.08334718815605052,10.042446,10.044545500000002,4,8
postgresql,non-indexed,Q01,sqlalchemy,0.00017231498049662006,0.0172329827575651,9.998409500000001,10.0061965,4,8
postgresql,non-indexed,Q02,django,-0.4369167907208445,-35.39748155358674,0.4178265,0.26880800000000005,100,8
postgresql,non-indexed,Q02,sqlalchemy,0.007774691715584906,0.7804993108312835,0.41823699999999997,0.42088000000000003,100,8
postgresql,non-indexed,Q03,django,0.0010133043002996083,0.10138178665537603,2.025232,2.025037,10,8
postgresql,non-indexed,Q03,sqlalchemy,0.0008207196096330605,0.08210564921275981,2.0375405,2.031285,10,8
postgresql,non-indexed,Q04,django,0.007343110525217116,0.7370137274277566,2.0717119999999998,2.086951,5,8
postgresql,non-indexed,Q04,sqlalchemy,-0.0005054138375453082,-0.050528613748641545,2.078492,2.076464,5,8
postgresql,non-indexed,Q05,django,0.0027509161218001008,0.2754703363553229,1.51193,1.513114,5,8
postgresql,non-indexed,Q05,sqlalchemy,0.0002823571680933656,0.028239703463066503,1.5151685000000001,1.5164545,5,8
postgresql,non-indexed,Q06,django,0.373638801596322,45.30122299643497,1.3903125,2.0265665000000004,1,8
postgresql,non-indexed,Q06,sqlalchemy,-0.0003279773170953046,-0.032792353841459655,1.393549,1.392862,1,8
postgresql,non-indexed,Q07,django,-0.00011615801571842311,-0.011615126963732162,1.858854,1.8556065,4,8
postgresql,non-indexed,Q07,sqlalchemy,-1.955270052678051e-05,-0.001955250937397742,1.848758,1.8519644999999998,4,8
postgresql,non-indexed,Q08,django,0.00522547081858687,0.5239147403045354,1.331893,1.3350875000000002,2,8
postgresql,non-indexed,Q08,sqlalchemy,0.0040233045967283925,0.40314089517853996,1.3275795000000001,1.331531,2,8
postgresql,non-indexed,Q09,django,-0.05031351431061239,-4.906875279267591,4.785914999999999,4.5457465,175,8
postgresql,non-indexed,Q09,sqlalchemy,0.00039534027150419575,0.03954184287685643,4.8055725,4.788318,175,8
postgresql,non-indexed,Q10,django,0.03681293468749633,3.749892262401866,2.0801515,2.166502,20,8
postgresql,non-indexed,Q10,sqlalchemy,0.002265918357128598,0.22684874902446778,2.0962405,2.1009995,20,8
postgresql,non-indexed,Q11,django,3.566421584206615e-05,0.0035664851817772463,0.34611749999999997,0.3465425,1469,8
postgresql,non-indexed,Q11,sqlalchemy,0.01366327980558225,1.3757048991277505,0.34823899999999997,0.352728,1469,8
postgresql,non-indexed,Q12,django,-0.24477992790851788,-21.71231913781323,2.556484,1.9980924999999998,2,8
postgresql,non-indexed,Q12,sqlalchemy,-0.002644696953353296,-0.2641202823349503,2.58222,2.5639255,2,8
postgresql,non-indexed,Q13,sqlalchemy,0.0015698039065899269,0.15710366937361295,1.887921,1.9188515,42,8
postgresql,non-indexed,Q14,django,0.000909401922001832,0.09098155533059006,1.3637920000000001,1.3648639999999999,1,8
postgresql,non-indexed,Q14,sqlalchemy,0.00011023157504608664,0.011023765076939867,1.3636255,1.3675975,1,8
postgresql,non-indexed,Q15,django,0.6577899870603671,93.05211397436638,1.4549725,2.8099955,1,8
postgresql,non-indexed,Q15,sqlalchemy,0.0026731721887526907,0.26767482993378683,2.8295525,2.842079,1,8
postgresql,non-indexed,Q16,django,0.00738288536395223,0.74102060558936,1.0709970000000002,1.080574,18374,8
postgresql,non-indexed,Q16,sqlalchemy,0.018346302802098584,1.8515630140477246,1.114053,1.1366809999999998,18374,8
postgresql,non-indexed,Q18,django,-0.005898895252171268,-0.5881530929790284,10.335612,10.2378215,57,8
postgresql,non-indexed,Q18,sqlalchemy,0.000555180021106256,0.05553341620581797,10.204751,10.1884985,57,8
postgresql,non-indexed,Q19,django,0.004755792757302167,0.47671194884208584,2.2826069999999996,2.2936915,1,8
postgresql,non-indexed,Q19,sqlalchemy,-0.0003793126564354891,-0.03792407264847574,2.2831535,2.287718,1,8
postgresql,non-indexed,Q22,django,0.18032780828379869,19.760988522343236,0.47574249999999996,0.5698084999999999,7,8
postgresql,non-indexed,Q22,sqlalchemy,0.009319664082548073,0.9363227378446076,0.477383,0.4820045,7,8
commercial_a,indexed,Q01,django,0.5555064489916355,74.28234124627481,3.138053,5.4954515,4,8
commercial_a,indexed,Q01,sqlalchemy,0.15034923798748748,16.224007024207488,3.181433,3.708813,4,8
commercial_a,indexed,Q02,django,-0.32839478492397206,-27.992131262591354,0.185835,0.134529,100,8
commercial_a,indexed,Q02,sqlalchemy,0.01305401942743286,1.3139595102452182,0.18769750000000002,0.19272050000000002,100,8
commercial_a,indexed,Q03,django,0.052057373895011964,5.343618051638912,1.2367105,1.397205,10,8
commercial_a,indexed,Q03,sqlalchemy,0.07776040099835535,8.086365379030475,1.2726955,1.418566,10,8
commercial_a,indexed,Q04,django,2.066642154697929,689.8257414495539,3.226901,25.417364,5,8
commercial_a,indexed,Q04,sqlalchemy,0.10975656094540298,11.6006357854803,3.1536115000000002,3.3718845,5,8
commercial_a,indexed,Q05,django,0.003035894146081714,0.3040507139720366,1.4808235,1.4873794999999999,5,8
commercial_a,indexed,Q05,sqlalchemy,0.057206028663401756,5.887394630747195,1.4702600000000001,1.5574184999999998,5,8
commercial_a,indexed,Q06,django,0.28770088891465034,33.335842218653355,1.2059065,1.6153935000000001,1,8
commercial_a,indexed,Q06,sqlalchemy,0.5514768706760573,73.58146995943665,1.2008635,2.0867285,1,8
commercial_a,indexed,Q07,django,0.05855945477482671,6.030802419543429,1.5345035,1.6615375000000001,4,8
commercial_a,indexed,Q07,sqlalchemy,0.043690537693268146,4.465902227061518,1.565372,1.639805,4,8
commercial_a,indexed,Q08,django,-0.05171557948598468,-5.040108615119973,1.5809815,1.48373,2,8
commercial_a,indexed,Q08,sqlalchemy,0.04811132425007242,4.928745996234623,1.4951240000000001,1.6506125,2,8
commercial_a,indexed,Q09,django,0.34346357519507476,40.982216905011995,2.0973535,2.764712,175,8
commercial_a,indexed,Q09,sqlalchemy,0.036229715273973666,3.689400952651297,1.7541335,1.8293445,175,8
commercial_a,indexed,Q10,django,0.021582495390167343,2.1817082059359083,1.3009015000000002,1.3294134999999998,20,8
commercial_a,indexed,Q10,sqlalchemy,0.040431733317499205,4.126022389504359,1.2908765,1.3421705,20,8
commercial_a,indexed,Q11,django,0.007086932625790481,0.7112104361141518,0.2846845,0.2863595,1469,8
commercial_a,indexed,Q11,sqlalchemy,0.01503365100845776,1.5147224768800522,0.283223,0.2871705,1469,8
commercial_a,indexed,Q12,django,0.6168287285972718,85.30422142187183,1.3265609999999999,2.461393,2,8
commercial_a,indexed,Q12,sqlalchemy,0.30651799388727374,35.86859152984936,1.3273005000000002,1.7996035,2,8
commercial_a,indexed,Q13,sqlalchemy,0.8663498921021271,137.82142527874333,0.8718714999999999,2.12783,42,8
commercial_a,indexed,Q14,django,0.034134658125196116,3.4723931332001112,1.276278,1.3159429999999999,1,8
commercial_a,indexed,Q14,sqlalchemy,0.47643412174645194,61.03219400113424,1.2728705,2.0497655,1,8
